Date,AQI
2020-02-20,100.0869565
2020-02-21,82.17391304
2020-02-22,84.25
2020-02-23,88.7826087
2020-02-24,77.60869565
2020-02-25,93.65217391
2020-02-26,93.0
2020-02-27,91.0
2020-02-28,106.5
2020-02-29,101.2083333
2020-03-01,103.375
2020-03-02,128.8695652
2020-03-03,206.25
2020-03-04,116.2608696
2020-03-05,128.173913
2020-03-06,83.05
2020-03-07,90.2173913
2020-03-08,92.79166667
2020-03-09,87.19047619
2020-03-10,88.86363636
2020-03-11,92.39130435
2020-03-12,79.47826087
2020-03-13,83.42857143
2020-03-14,81.43478261
2020-03-15,87.4
2020-03-16,71.0
2020-03-17,73.61111111
2020-03-18,80.29166667
2020-03-19,95.30434783
2020-03-20,82.15
2020-03-21,88.52173913
2020-03-22,62.2173913
2020-03-23,74.30434783
2020-03-24,87.33333333
2020-03-25,45.13043478
2020-03-26,46.82608696
2020-03-27,41.91666667
2020-03-28,42.58333333
2020-03-29,43.69565217
2020-03-30,52.95238095
2020-03-31,45.59090909
2020-04-01,47.45833333
2020-04-02,55.5
2020-04-03,71.20833333
2020-04-04,62.54166667
2020-04-05,44.53846154
2020-04-06,43.58333333
2020-04-07,40.05882353
2020-04-08,44.125
2020-04-09,43.15789474
2020-04-13,67.33333333
2020-04-14,69.08695652
2020-04-15,79.29166667
2020-04-16,54.66666667
2020-04-17,58.95833333
2020-04-18,56.75
2020-04-19,50.95833333
2020-04-20,42.70833333
2020-04-21,43.58333333
2020-04-22,42.625
2020-04-23,44.15789474
2020-04-24,62.54545455
2020-04-25,47.65217391
2020-04-26,49.45833333
2020-04-27,36.0
2020-04-28,48.6
2020-04-29,41.14285714
2020-04-30,49.23809524
2020-05-01,71.5
2020-05-02,49.95833333
2020-05-03,52.16666667
2020-05-04,71.36842105
2020-05-05,73.08333333
2020-05-06,55.66666667
2020-05-07,61.70833333
2020-05-08,45.4
2020-05-10,61.66666667
2020-05-11,61.20833333
2020-05-12,50.54166667
2020-05-13,46.91666667
2020-05-14,62.70833333
2020-05-15,55.45833333
2020-05-16,66.41666667
2020-05-17,53.29166667
2020-05-18,51.625
2020-05-19,59.9
2020-05-20,42.0
2020-05-29,50.4
2020-05-30,54.54166667
2020-05-31,49.33333333
2020-06-01,29.54166667
2020-06-02,31.79166667
2020-06-03,32.33333333
2020-06-04,29.875
2020-06-05,33.33333333
2020-06-06,40.375
2020-06-07,40.54166667
2020-06-08,55.5
2020-06-09,51.625
2020-06-10,45.29166667
2020-06-11,30.6875
2020-06-12,34.125
2020-06-13,33.70833333
2020-06-14,33.5
2020-06-15,36.13636364
2020-06-16,39.95833333
2020-06-17,53.06666667
2020-06-18,45.33333333
2020-06-19,51.66666667
2020-06-20,48.0
2020-06-21,44.0
2020-06-22,41.29166667
2020-06-23,52.375
2020-06-24,49.45833333
2020-06-25,47.75
2020-06-26,37.66666667
2020-06-27,34.95833333
2020-06-28,33.83333333
2020-06-29,34.33333333
2020-06-30,28.5
2020-07-01,34.66666667
2020-07-02,28.625
2020-07-03,27.625
2020-07-04,30.04166667
2020-07-05,34.70833333
2020-07-06,36.375
2020-07-07,32.20833333
2020-07-08,30.79166667
2020-07-09,32.0
2020-07-10,31.375
2020-07-11,35.0
2020-07-12,34.95833333
2020-07-13,39.0
2020-07-14,32.16666667
2020-07-15,30.5
2020-07-16,26.625
2020-07-17,29.33333333
2020-07-18,33.0625
2020-07-19,35.33333333
2020-07-20,34.91666667
2020-07-21,34.54166667
2020-07-22,52.58333333
2020-07-23,45.16666667
2020-07-24,33.20833333
2020-07-25,34.10526316
2020-07-26,38.76923077
2020-07-27,35.63636364
2020-07-28,40.20833333
2020-07-29,40.95833333
2020-07-30,30.16666667
2020-07-31,31.0
2020-08-01,24.8
2020-08-03,36.25
2020-08-04,33.5625
2020-08-05,37.04166667
2020-08-06,42.04166667
2020-08-07,38.625
2020-08-08,37.625
2020-08-09,36.625
2020-08-10,40.20833333
2020-08-11,44.95833333
2020-08-12,53.04166667
2020-08-13,59.58333333
2020-08-14,57.33333333
2020-08-15,52.875
2020-08-16,55.5
2020-08-17,44.54166667
2020-08-18,45.125
2020-08-19,47.20833333
2020-08-20,51.79166667
2020-08-21,46.83333333
2020-08-22,43.875
2020-08-23,39.54166667
2020-08-24,49.73913043
2020-08-25,57.75
2020-08-26,59.16666667
2020-08-27,56.08333333
2020-08-28,73.75
2020-08-29,61.45833333
2020-08-30,55.9
2020-08-31,50.91666667
2020-09-01,60.41666667
2020-09-02,64.625
2020-09-03,58.47826087
2020-09-04,73.625
2020-09-05,86.39130435
2020-09-06,79.125
2020-09-07,58.58333333
2020-09-08,60.82608696
2020-09-09,43.125
2020-09-10,33.75
2020-09-11,38.43478261
2020-09-12,35.66666667
2020-09-13,34.31578947
2020-09-15,46.21428571
2020-09-16,44.47826087
2020-09-17,48.41666667
2020-09-18,40.58333333
2020-09-19,41.25
2020-09-20,32.625
2020-09-21,38.45833333
2020-09-22,45.83333333
2020-09-23,64.25
2020-09-24,60.28571429
2020-09-25,51.82608696
2020-09-26,52.625
2020-09-27,54.54545455
2020-09-28,62.95833333
2020-09-29,60.04166667
2020-09-30,54.45833333
2020-10-01,64.79166667
2020-10-02,72.0
2020-10-03,46.33333333
2020-10-04,38.08333333
2020-10-05,56.45833333
2020-10-06,78.95833333
2020-10-07,73.66666667
2020-10-08,96.34782609
2020-10-09,74.70833333
2020-10-10,41.625
2020-10-11,33.875
2020-10-12,41.54166667
2020-10-13,38.83333333
2020-10-14,38.83333333
2020-10-15,39.47826087
2020-10-16,76.75
2020-10-17,93.30434783
2020-10-18,79.7826087
2020-10-19,80.70833333
2020-10-20,59.47826087
2020-10-21,50.04166667
2020-10-22,44.26086957
2020-10-23,39.58333333
2020-10-24,58.70833333
2020-10-25,63.0
2020-10-26,107.0
2020-10-27,136.9583333
2020-10-28,115.8333333
2020-10-29,110.826087
2020-10-30,108.4583333
2020-10-31,152.9166667
2020-11-01,167.5416667
2020-11-02,219.5416667
2020-11-03,137.8333333
2020-11-04,113.2083333
2020-11-05,79.29166667
2020-11-06,51.40909091
2020-11-07,50.90909091
2020-11-08,84.79166667
2020-11-09,146.7272727
2020-11-10,118.0
2020-11-11,104.4782609
2020-11-12,77.77272727
2020-11-13,42.17647059
2020-11-14,63.65217391
2020-11-15,76.875
2020-11-16,42.54166667
2020-11-17,89.04347826
2020-11-18,58.08333333
2020-11-19,62.04166667
2020-11-20,58.875
2020-11-21,72.45833333
2020-11-22,114.826087
2020-11-23,95.40909091
2020-11-24,101.5
2020-11-25,104.7916667
2020-11-26,29.7
2020-11-27,33.5
2020-11-28,52.60869565
2020-11-29,49.58333333
2020-11-30,52.91304348
2020-12-01,66.91304348
2020-12-02,74.79166667
2020-12-03,61.5
2020-12-04,56.0625
2020-12-05,43.26086957
2020-12-06,55.20833333
2020-12-07,36.60869565
2020-12-08,41.25
2020-12-09,71.26666667
2020-12-10,78.79166667
2020-12-11,95.52173913
2020-12-12,113.75
2020-12-13,114.2380952
2020-12-14,131.3333333
2020-12-15,118.0833333
2020-12-16,101.875
2020-12-17,93.04166667
2020-12-18,100.2608696
2020-12-19,122.3043478
2020-12-20,159.3333333
2020-12-21,138.3913043
2020-12-22,146.625
2020-12-23,129.75
2020-12-24,126.3333333
2020-12-25,134.1363636
2020-12-26,129.173913
2020-12-27,162.9166667
2020-12-28,195.0
2020-12-29,175.5833333
2020-12-30,129.4166667
2020-12-31,85.45833333
2021-01-01,122.75
2021-01-02,127.0869565
2021-01-03,82.65217391
2021-01-04,75.16666667
2021-01-05,68.45833333
2021-01-06,42.39130435
2021-01-07,56.04166667
2021-01-08,63.0
2021-01-09,70.70833333
2021-01-10,72.25
2021-01-11,90.04166667
2021-01-12,88.66666667
2021-01-13,106.3913043
2021-01-14,88.04166667
2021-01-15,96.58333333
2021-01-16,109.4166667
2021-01-17,95.45833333
2021-01-18,80.33333333
2021-01-19,88.70833333
2021-01-20,118.4347826
2021-01-21,107.2857143
2021-01-22,94.04166667
2021-01-23,122.3478261
2021-01-24,106.9285714
2021-01-25,93.27777778
2021-01-26,91.39130435
2021-01-27,112.75
2021-01-28,149.0416667
2021-01-29,161.4166667
2021-01-30,154.6666667
2021-01-31,141.2083333
2021-02-01,101.4583333
2021-02-02,108.0833333
2021-02-03,138.5416667
2021-02-04,98.33333333
2021-02-05,100.3636364
2021-02-06,112.0
2021-02-07,104.2173913
2021-02-08,90.58333333
2021-02-09,96.0
2021-02-10,103.6
2021-02-11,113.2083333
2021-02-12,100.4166667
2021-02-13,97.25
2021-02-14,101.8333333
2021-02-15,93.95833333
2021-02-16,116.0
2021-02-17,100.5
2021-02-18,95.43478261
2021-02-19,97.22222222
2021-02-20,62.7826087
2021-02-21,50.33333333
2021-02-22,53.20833333
2021-02-23,65.70833333
2021-02-24,84.65217391
2021-02-25,114.1818182
2021-02-26,116.2272727
2021-02-27,105.0625
2021-02-28,92.29166667
2021-03-01,85.0
2021-03-02,100.6086957
2021-03-03,107.4583333
2021-03-04,91.29166667
2021-03-05,66.4375
2021-03-06,80.70833333
2021-03-07,93.875
2021-03-08,70.55555556
2021-03-09,57.56521739
2021-03-10,57.5
2021-03-11,56.20833333
2021-03-12,83.54166667
2021-03-13,71.16666667
2021-03-14,85.66666667
2021-03-15,69.625
2021-03-16,81.83333333
2021-03-17,81.16666667
2021-03-18,106.1666667
2021-03-19,106.826087
2021-03-20,93.75
2021-03-21,109.8333333
2021-03-22,96.625
2021-03-23,92.30434783
2021-03-24,90.31818182
2021-03-25,86.47826087
2021-03-26,114.0869565
2021-03-27,120.7083333
2021-03-28,142.375
2021-03-29,114.8333333
2021-03-30,109.75
2021-03-31,136.8666667
2021-04-01,106.1428571
2021-04-02,87.08695652
2021-04-03,118.5
2021-04-04,111.8095238
2021-04-05,123.5909091
2021-04-06,126.2608696
2021-04-07,108.6666667
2021-04-08,126.0833333
2021-04-09,107.875
2021-04-10,115.4782609
2021-04-11,91.69565217
2021-04-12,68.0
2021-04-13,65.72727273
2021-04-14,56.875
2021-04-15,41.70833333
2021-04-16,57.29166667
2021-04-17,64.79166667
2021-04-18,73.08333333
2021-04-19,75.65217391
2021-04-20,68.7826087
2021-04-21,98.70833333
2021-04-22,104.2727273
2021-04-23,77.39130435
2021-04-24,44.0
2021-04-26,93.45454545
2021-04-27,98.08333333
2021-04-28,100.7391304
2021-04-29,90.70833333
2021-04-30,77.75
2021-05-01,95.83333333
2021-05-02,55.16666667
2021-05-03,41.95833333
2021-05-04,54.30434783
2021-05-05,62.29166667
2021-05-06,53.29166667
2021-05-07,44.17391304
2021-05-08,43.75
2021-05-09,44.57894737
2021-05-10,39.53846154
2021-05-11,37.3
2021-05-12,45.64285714
2021-05-13,39.77272727
2021-05-14,34.91666667
2021-05-15,33.17391304
2021-05-16,34.875
2021-05-17,33.0
2021-05-18,28.875
2021-05-19,29.8
2021-05-20,37.66666667
2021-05-21,26.52173913
2021-05-22,32.18181818
2021-05-23,33.39130435
2021-05-24,46.7826087
2021-05-25,38.125
2021-05-26,40.04347826
2021-05-27,46.83333333
2021-05-28,48.625
2021-05-29,32.05263158
2021-05-30,31.56521739
2021-05-31,30.91304348
2021-06-01,30.82608696
2021-06-02,36.45833333
2021-06-03,45.875
2021-06-04,29.875
2021-06-05,29.0
2021-06-06,35.70833333
2021-06-07,38.54166667
2021-06-08,47.69565217
2021-06-09,36.625
2021-06-10,36.05555556
2021-06-11,33.83333333
2021-06-12,30.39130435
2021-06-13,32.20833333
2021-06-14,31.44444444
2021-06-15,41.82608696
2021-06-16,52.75
2021-06-17,65.5
2021-06-18,76.95833333
2021-06-19,67.04347826
2021-06-20,65.31818182
2021-06-21,61.20833333
2021-06-22,94.54166667
2021-06-23,81.59090909
2021-06-24,74.36842105
2021-07-01,95.0
2021-07-02,58.29411765
2021-07-03,61.0
2021-07-04,59.66666667
2021-07-05,53.16666667
2021-07-06,66.54545455
2021-07-07,74.625
2021-07-08,53.58333333
2021-07-09,52.79166667
2021-07-10,35.25
2021-07-11,66.04347826
2021-07-12,65.04166667
2021-07-13,38.41666667
2021-07-14,31.79166667
2021-07-15,30.66666667
2021-07-16,33.70833333
2021-07-17,34.875
2021-07-18,29.83333333
2021-07-19,33.60869565
2021-07-20,36.16666667
2021-07-21,32.45833333
2021-07-22,31.83333333
2021-07-23,30.84210526
2021-07-24,33.33333333
2021-07-25,28.26086957
2021-07-26,31.41666667
2021-07-27,39.5
2021-07-28,34.04166667
2021-07-29,44.91666667
2021-07-30,42.30434783
2021-07-31,39.22727273
2021-08-01,38.95833333
2021-08-02,42.0
2021-08-03,39.70833333
2021-08-04,37.73913043
2021-08-05,42.31818182
2021-08-06,40.60869565
2021-08-07,39.79166667
2021-08-08,42.04347826
2021-08-09,38.45833333
2021-08-10,49.95833333
2021-08-11,58.04347826
2021-08-12,46.29166667
2021-08-13,51.7826087
2021-08-14,49.7826087
2021-08-15,49.5
2021-08-16,49.22727273
2021-08-17,50.16666667
2021-08-18,43.125
